Latitude (decimal degrees):	33.651
Longitude (decimal degrees):	-117.710
Elevation (m):	113
Radiation database:	PVGIS-NSRDB


Slope: 34 deg. (optimum)
Azimuth: 9 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	100.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20150103:1300,0.0,0.0,0.0,0.0,0.0,10.98,1.13,0.0
20150103:1400,0.0,0.0,0.0,0.0,0.0,10.98,1.09,0.0
20150103:1500,0.0,0.0,0.0,0.0,0.0,10.98,1.05,0.0
20150103:1600,24104.0,234.08,70.23,2.61,10.52,11.48,1.04,0.0
20150103:1700,46403.0,466.94,95.27,5.6,19.81,11.98,1.03,0.0
20150103:1800,62301.0,657.66,110.01,8.04,27.22,12.47,1.02,0.0
20150103:1900,72271.0,785.37,117.49,9.56,32.01,12.61,1.27,0.0
20150103:2000,76490.0,839.13,120.56,10.02,33.51,12.74,1.52,0.0
20150103:2100,74968.0,813.21,120.63,9.39,31.45,12.87,1.77,0.0
20150103:2200,67231.0,707.94,116.35,7.72,26.18,12.8,1.89,0.0
20150103:2300,52540.0,526.39,106.12,5.17,18.41,12.74,2.01,0.0
20150104:0000,29181.0,277.05,78.28,2.15,9.03,12.67,2.14,0.0
20150104:0100,0.0,0.0,0.0,0.0,0.0,12.67,2.06,0.0
20150104:0200,0.0,0.0,0.0,0.0,0.0,12.67,1.97,0.0
20150104:0300,0.0,0.0,0.0,0.0,0.0,12.67,1.89,0.0
20150104:0400,0.0,0.0,0.0,0.0,0.0,12.61,1.73,0.0
20150104:0500,0.0,0.0,0.0,0.0,0.0,12.54,1.57,0.0
20150104:0600,0.0,0.0,0.0,0.0,0.0,12.48,1.41,0.0
20150104:0700,0.0,0.0,0.0,0.0,0.0,12.44,1.28,0.0
20150104:0800,0.0,0.0,0.0,0.0,0.0,12.41,1.15,0.0
20150104:0900,0.0,0.0,0.0,0.0,0.0,12.37,1.02,0.0
20150104:1000,0.0,0.0,0.0,0.0,0.0,12.26,0.98,0.0
20150104:1100,0.0,0.0,0.0,0.0,0.0,12.15,0.95,0.0
20150104:1200,0.0,0.0,0.0,0.0,0.0,12.04,0.91,0.0
20150104:1300,0.0,0.0,0.0,0.0,0.0,12.02,1.05,0.0
20150104:1400,0.0,0.0,0.0,0.0,0.0,11.99,1.19,0.0
20150104:1500,0.0,0.0,0.0,0.0,0.0,11.97,1.32,0.0
20150104:1600,23713.0,231.2,69.87,2.59,10.52,12.62,1.15,0.0
20150104:1700,45688.0,462.3,94.85,5.57,19.83,13.27,0.97,0.0
20150104:1800,61266.0,652.98,109.62,8.01,27.26,13.91,0.8,0.0
20150104:1900,70729.0,780.53,117.09,9.53,32.09,14.52,0.91,0.0
20150104:2000,74580.0,835.71,120.19,10.0,33.61,15.13,1.01,0.0
20150104:2100,51272.0,394.37,237.42,7.26,31.57,15.74,1.12,0.0
20150104:2200,45446.0,359.4,197.06,5.97,26.31,15.8,1.08,0.0
20150104:2300,27608.0,192.85,145.3,3.58,18.56,15.85,1.04,0.0
20150105:0000,28301.0,273.63,78.85,2.17,9.17,15.91,1.01,0.0
20150105:0100,0.0,0.0,0.0,0.0,0.0,15.74,1.27,0.0
20150105:0200,0.0,0.0,0.0,0.0,0.0,15.57,1.53,0.0
20150105:0300,0.0,0.0,0.0,0.0,0.0,15.4,1.79,0.0
20150105:0400,0.0,0.0,0.0,0.0,0.0,14.88,1.76,0.0
20150105:0500,0.0,0.0,0.0,0.0,0.0,14.35,1.73,0.0
20150105:0600,0.0,0.0,0.0,0.0,0.0,13.83,1.7,0.0
20150105:0700,0.0,0.0,0.0,0.0,0.0,13.68,1.71,0.0
20150105:0800,0.0,0.0,0.0,0.0,0.0,13.53,1.73,0.0
20150105:0900,0.0,0.0,0.0,0.0,0.0,13.38,1.75,0.0
20150105:1000,0.0,0.0,0.0,0.0,0.0,13.21,1.76,0.0
20150105:1100,0.0,0.0,0.0,0.0,0.0,13.04,1.76,0.0
20150105:1200,0.0,0.0,0.0,0.0,0.0,12.87,1.77,0.0
20150105:1300,0.0,0.0,0.0,0.0,0.0,13.0,1.81,0.0
20150105:1400,0.0,0.0,0.0,0.0,0.0,13.13,1.85,0.0
20150105:1500,0.0,0.0,0.0,0.0,0.0,13.26,1.89,0.0
20150105:1600,6256.0,24.14,66.29,1.35,10.52,14.08,1.71,0.0
20150105:1700,45508.0,461.11,94.65,5.57,19.85,14.9,1.54,0.0
20150105:1800,61180.0,651.52,109.39,8.01,27.32,15.71,1.37,0.0
20150105:1900,70648.0,782.13,116.98,9.56,32.17,16.43,1.25,0.0
20150105:2000,74209.0,837.15,121.48,10.05,33.72,17.15,1.14,0.0
20150105:2100,72140.0,812.6,121.55,9.44,31.7,17.86,1.02,0.0
20150105:2200,65158.0,708.94,117.26,7.78,26.46,17.77,1.31,0.0
20150105:2300,51453.0,531.95,105.61,5.26,18.7,17.67,1.59,0.0
20150106:0000,29066.0,283.08,79.38,2.24,9.32,17.58,1.88,0.0
20150106:0100,0.0,0.0,0.0,0.0,0.0,17.3,1.94,0.0
20150106:0200,0.0,0.0,0.0,0.0,0.0,17.01,2.0,0.0
20150106:0300,0.0,0.0,0.0,0.0,0.0,16.73,2.06,0.0
20150106:0400,0.0,0.0,0.0,0.0,0.0,16.44,1.9,0.0
20150106:0500,0.0,0.0,0.0,0.0,0.0,16.16,1.74,0.0
20150106:0600,0.0,0.0,0.0,0.0,0.0,15.87,1.59,0.0
20150106:0700,0.0,0.0,0.0,0.0,0.0,15.61,1.6,0.0
20150106:0800,0.0,0.0,0.0,0.0,0.0,15.36,1.62,0.0
20150106:0900,0.0,0.0,0.0,0.0,0.0,15.1,1.64,0.0
20150106:1000,0.0,0.0,0.0,0.0,0.0,14.87,1.73,0.0
20150106:1100,0.0,0.0,0.0,0.0,0.0,14.64,1.83,0.0
20150106:1200,0.0,0.0,0.0,0.0,0.0,14.41,1.92,0.0
20150106:1300,0.0,0.0,0.0,0.0,0.0,14.38,1.78,0.0
20150106:1400,0.0,0.0,0.0,0.0,0.0,14.35,1.64,0.0
20150106:1500,0.0,0.0,0.0,0.0,0.0,14.32,1.5,0.0
20150106:1600,23855.0,236.11,70.28,2.65,10.53,15.06,1.24,0.0
20150106:1700,46021.0,472.19,96.7,5.7,19.88,15.8,0.97,0.0
20150106:1800,61345.0,666.54,109.99,8.18,27.38,16.54,0.7,0.0
20150106:1900,71050.0,798.31,118.95,9.76,32.26,17.13,0.86,0.0
20150106:2000,75010.0,855.02,122.05,10.26,33.84,17.72,1.03,0.0
20150106:2100,73358.0,829.34,122.09,9.63,31.84,18.3,1.19,0.0
20150106:2200,65712.0,725.08,117.85,7.96,26.61,18.37,0.97,0.0
20150106:2300,51573.0,542.12,107.59,5.38,18.85,18.45,0.75,0.0
20150107:0000,29570.0,292.19,81.66,2.32,9.48,18.52,0.54,0.0
20150107:0100,0.0,0.0,0.0,0.0,0.0,18.07,0.85,0.0
20150107:0200,0.0,0.0,0.0,0.0,0.0,17.62,1.16,0.0
20150107:0300,0.0,0.0,0.0,0.0,0.0,17.17,1.48,0.0
20150107:0400,0.0,0.0,0.0,0.0,0.0,16.6,1.4,0.0
20150107:0500,0.0,0.0,0.0,0.0,0.0,16.02,1.33,0.0
20150107:0600,0.0,0.0,0.0,0.0,0.0,15.45,1.26,0.0
20150107:0700,0.0,0.0,0.0,0.0,0.0,15.09,1.15,0.0
20150107:0800,0.0,0.0,0.0,0.0,0.0,14.73,1.05,0.0
20150107:0900,0.0,0.0,0.0,0.0,0.0,14.36,0.95,0.0
20150107:1000,0.0,0.0,0.0,0.0,0.0,14.3,1.26,0.0
20150107:1100,0.0,0.0,0.0,0.0,0.0,14.24,1.57,0.0
20150107:1200,0.0,0.0,0.0,0.0,0.0,14.18,1.88,0.0
20150107:1300,0.0,0.0,0.0,0.0,0.0,14.16,1.66,0.0
20150107:1400,0.0,0.0,0.0,0.0,0.0,14.13,1.43,0.0
20150107:1500,0.0,0.0,0.0,0.0,0.0,14.1,1.21,0.0
20150107:1600,9106.0,54.42,71.4,1.59,10.54,15.0,1.14,0.0
20150107:1700,45238.0,463.7,94.53,5.62,19.92,15.91,1.08,0.0
20150107:1800,60605.0,653.25,109.12,8.06,27.44,16.81,1.01,0.0
20150107:1900,70031.0,781.73,116.55,9.59,32.36,17.53,1.12,0.0
20150107:2000,73756.0,834.75,120.89,10.07,33.96,18.24,1.23,0.0
20150107:2100,61367.0,595.37,181.89,8.25,31.99,18.95,1.34,0.0
20150107:2200,41039.0,296.4,213.06,5.8,26.76,19.0,1.03,0.0
20150107:2300,21297.0,122.92,145.44,3.26,19.01,19.04,0.71,0.0
20150108:0000,9275.0,59.57,68.45,1.38,9.64,19.09,0.4,0.0
20150108:0100,0.0,0.0,0.0,0.0,0.0,18.28,0.56,0.0
20150108:0200,0.0,0.0,0.0,0.0,0.0,17.48,0.72,0.0
20150108:0300,0.0,0.0,0.0,0.0,0.0,16.67,0.88,0.0
20150108:0400,0.0,0.0,0.0,0.0,0.0,16.35,0.9,0.0
20150108:0500,0.0,0.0,0.0,0.0,0.0,16.04,0.91,0.0
20150108:0600,0.0,0.0,0.0,0.0,0.0,15.72,0.92,0.0
20150108:0700,0.0,0.0,0.0,0.0,0.0,15.53,0.91,0.0
20150108:0800,0.0,0.0,0.0,0.0,0.0,15.34,0.91,0.0
20150108:0900,0.0,0.0,0.0,0.0,0.0,15.15,0.9,0.0
20150108:1000,0.0,0.0,0.0,0.0,0.0,15.1,0.72,0.0
20150108:1100,0.0,0.0,0.0,0.0,0.0,15.05,0.55,0.0
20150108:1200,0.0,0.0,0.0,0.0,0.0,14.99,0.37,0.0
20150108:1300,0.0,0.0,0.0,0.0,0.0,15.0,0.58,0.0
20150108:1400,0.0,0.0,0.0,0.0,0.0,15.0,0.79,0.0
20150108:1500,0.0,0.0,0.0,0.0,0.0,15.01,0.99,0.0
20150108:1600,4879.0,10.83,63.05,1.23,10.56,15.46,1.22,0.0
20150108:1700,25437.0,166.95,146.15,3.88,19.96,15.91,1.45,0.0
20150108:1800,59612.0,631.68,106.4,7.84,27.51,16.36,1.68,0.0
20150108:1900,69563.0,760.24,113.94,9.37,32.46,16.56,1.79,0.0
20150108:2000,73814.0,816.11,118.36,9.88,34.1,16.76,1.9,0.0
20150108:2100,72178.0,792.06,118.18,9.29,32.14,16.95,2.01,0.0
20150108:2200,64523.0,692.09,113.6,7.68,26.92,16.65,1.72,0.0
20150108:2300,50528.0,518.93,103.01,5.22,19.17,16.35,1.43,0.0
20150109:0000,23249.0,213.54,77.29,2.01,9.8,16.05,1.14,0.0
20150109:0100,0.0,0.0,0.0,0.0,0.0,15.72,1.07,0.0
20150109:0200,0.0,0.0,0.0,0.0,0.0,15.38,1.0,0.0
20150109:0300,0.0,0.0,0.0,0.0,0.0,15.05,0.92,0.0
20150109:0400,0.0,0.0,0.0,0.0,0.0,14.94,1.03,0.0
20150109:0500,0.0,0.0,0.0,0.0,0.0,14.83,1.14,0.0
20150109:0600,0.0,0.0,0.0,0.0,0.0,14.72,1.24,0.0
20150109:0700,0.0,0.0,0.0,0.0,0.0,14.7,0.97,0.0
20150109:0800,0.0,0.0,0.0,0.0,0.0,14.69,0.69,0.0
20150109:0900,0.0,0.0,0.0,0.0,0.0,14.67,0.41,0.0
20150109:1000,0.0,0.0,0.0,0.0,0.0,14.57,0.79,0.0
20150109:1100,0.0,0.0,0.0,0.0,0.0,14.47,1.16,0.0
20150109:1200,0.0,0.0,0.0,0.0,0.0,14.37,1.53,0.0
20150109:1300,0.0,0.0,0.0,0.0,0.0,14.36,1.28,0.0
20150109:1400,0.0,0.0,0.0,0.0,0.0,14.35,1.03,0.0
20150109:1500,0.0,0.0,0.0,0.0,0.0,14.34,0.79,0.0
20150109:1600,2445.0,0.0,42.96,0.8,10.59,14.81,0.59,0.0
20150109:1700,4333.0,0.0,66.73,1.25,20.01,15.28,0.4,0.0
20150109:1800,8217.0,0.0,113.35,2.12,27.59,15.74,0.21,0.0
20150109:1900,6831.0,0.0,96.9,1.81,32.57,15.86,0.71,0.0
20150109:2000,28575.0,96.81,253.46,5.43,34.23,15.97,1.21,0.0
20150109:2100,54382.0,431.48,237.0,7.63,32.29,16.08,1.71,0.0
20150109:2200,36364.0,226.13,215.61,5.39,27.09,15.94,1.55,0.0
20150109:2300,7075.0,0.0,99.64,1.86,19.34,15.8,1.4,0.0
20150110:0000,29518.0,287.12,78.48,2.36,9.97,15.66,1.24,0.0
20150110:0100,0.0,0.0,0.0,0.0,0.0,15.38,1.18,0.0
20150110:0200,0.0,0.0,0.0,0.0,0.0,15.11,1.12,0.0
20150110:0300,0.0,0.0,0.0,0.0,0.0,14.83,1.06,0.0
20150110:0400,0.0,0.0,0.0,0.0,0.0,14.71,1.14,0.0
20150110:0500,0.0,0.0,0.0,0.0,0.0,14.58,1.23,0.0
20150110:0600,0.0,0.0,0.0,0.0,0.0,14.46,1.31,0.0
20150110:0700,0.0,0.0,0.0,0.0,0.0,14.37,1.36,0.0
20150110:0800,0.0,0.0,0.0,0.0,0.0,14.28,1.4,0.0
20150110:0900,0.0,0.0,0.0,0.0,0.0,14.18,1.45,0.0
20150110:1000,0.0,0.0,0.0,0.0,0.0,14.11,1.44,0.0
20150110:1100,0.0,0.0,0.0,0.0,0.0,14.04,1.44,0.0
20150110:1200,0.0,0.0,0.0,0.0,0.0,13.97,1.43,0.0
20150110:1300,0.0,0.0,0.0,0.0,0.0,14.07,1.22,0.0
20150110:1400,0.0,0.0,0.0,0.0,0.0,14.17,1.0,0.0
20150110:1500,0.0,0.0,0.0,0.0,0.0,14.27,0.79,0.0
20150110:1600,1161.0,0.0,25.6,0.48,10.62,14.81,0.79,0.0
20150110:1700,3888.0,0.0,61.25,1.14,20.07,15.35,0.8,0.0
20150110:1800,29690.0,152.48,211.5,5.07,27.68,15.89,0.8,0.0
20150110:1900,46015.0,316.65,250.52,7.14,32.69,16.02,0.8,0.0
20150110:2000,29067.0,101.45,256.12,5.51,34.38,16.15,0.79,0.0
20150110:2100,11328.0,0.0,149.92,2.8,32.46,16.28,0.79,0.0
20150110:2200,16782.0,34.79,177.71,3.53,27.26,16.09,0.94,0.0
20150110:2300,3364.0,0.0,54.85,1.02,19.51,15.9,1.1,0.0
20150111:0000,107.0,0.0,8.23,0.15,10.14,15.71,1.26,0.0
20150111:0100,0.0,0.0,0.0,0.0,0.0,15.61,1.3,0.0
20150111:0200,0.0,0.0,0.0,0.0,0.0,15.52,1.35,0.0
20150111:0300,0.0,0.0,0.0,0.0,0.0,15.42,1.39,0.0
20150111:0400,0.0,0.0,0.0,0.0,0.0,15.35,1.56,0.0
20150111:0500,0.0,0.0,0.0,0.0,0.0,15.28,1.72,0.0
20150111:0600,0.0,0.0,0.0,0.0,0.0,15.21,1.89,0.0
20150111:0700,0.0,0.0,0.0,0.0,0.0,15.06,1.82,0.0
20150111:0800,0.0,0.0,0.0,0.0,0.0,14.91,1.74,0.0
20150111:0900,0.0,0.0,0.0,0.0,0.0,14.75,1.67,0.0
20150111:1000,0.0,0.0,0.0,0.0,0.0,14.59,1.68,0.0
20150111:1100,0.0,0.0,0.0,0.0,0.0,14.43,1.7,0.0
20150111:1200,0.0,0.0,0.0,0.0,0.0,14.26,1.71,0.0
20150111:1300,0.0,0.0,0.0,0.0,0.0,14.28,1.62,0.0
20150111:1400,0.0,0.0,0.0,0.0,0.0,14.29,1.54,0.0
20150111:1500,0.0,0.0,0.0,0.0,0.0,14.3,1.45,0.0
20150111:1600,0.0,0.0,3.66,0.07,10.66,14.6,1.01,0.0
20150111:1700,394.0,0.0,13.71,0.26,20.13,14.91,0.57,0.0
20150111:1800,4183.0,0.0,64.9,1.21,27.77,15.21,0.14,0.0
20150111:1900,12311.0,3.22,157.61,2.97,32.81,15.19,0.3,0.0
20150111:2000,7780.0,0.0,107.87,2.01,34.53,15.17,0.47,0.0
20150111:2100,9580.0,0.0,128.89,2.41,32.63,15.14,0.63,0.0
20150111:2200,23250.0,85.71,200.98,4.27,27.44,14.98,0.62,0.0
20150111:2300,50000.0,516.05,101.23,5.27,19.69,14.82,0.6,0.0
20150112:0000,28572.0,276.63,77.29,2.36,10.31,14.66,0.58,0.0
20150112:0100,0.0,0.0,0.0,0.0,0.0,14.59,0.93,0.0
20150112:0200,0.0,0.0,0.0,0.0,0.0,14.51,1.28,0.0
20150112:0300,0.0,0.0,0.0,0.0,0.0,14.44,1.63,0.0
20150112:0400,0.0,0.0,0.0,0.0,0.0,14.38,1.28,0.0
20150112:0500,0.0,0.0,0.0,0.0,0.0,14.33,0.93,0.0
20150112:0600,0.0,0.0,0.0,0.0,0.0,14.27,0.58,0.0
20150112:0700,0.0,0.0,0.0,0.0,0.0,14.18,0.69,0.0
20150112:0800,0.0,0.0,0.0,0.0,0.0,14.09,0.8,0.0
20150112:0900,0.0,0.0,0.0,0.0,0.0,13.99,0.91,0.0
20150112:1000,0.0,0.0,0.0,0.0,0.0,13.85,0.92,0.0
20150112:1100,0.0,0.0,0.0,0.0,0.0,13.7,0.93,0.0
20150112:1200,0.0,0.0,0.0,0.0,0.0,13.55,0.94,0.0
20150112:1300,0.0,0.0,0.0,0.0,0.0,13.48,0.89,0.0
20150112:1400,0.0,0.0,0.0,0.0,0.0,13.41,0.84,0.0
20150112:1500,0.0,0.0,0.0,0.0,0.0,13.34,0.79,0.0
20150112:1600,21685.0,213.76,65.49,2.51,10.7,13.64,0.8,0.0
20150112:1700,6045.0,0.0,86.84,1.62,20.2,13.94,0.8,0.0
20150112:1800,59277.0,630.35,105.45,7.9,27.87,14.24,0.81,0.0
20150112:1900,62624.0,608.63,167.47,8.65,32.95,14.44,1.27,0.0
20150112:2000,55659.0,426.1,254.16,8.13,34.69,14.63,1.72,0.0
20150112:2100,47503.0,315.79,257.9,7.07,32.81,14.82,2.18,0.0
20150112:2200,41018.0,276.03,217.1,5.8,27.62,14.81,2.23,0.0
20150112:2300,52612.0,533.79,103.65,5.46,19.87,14.8,2.28,0.0
20150113:0000,30297.0,290.58,80.0,2.48,10.49,14.79,2.33,0.0
20150113:0100,0.0,0.0,0.0,0.0,0.0,14.41,1.95,0.0
20150113:0200,0.0,0.0,0.0,0.0,0.0,14.02,1.57,0.0
20150113:0300,0.0,0.0,0.0,0.0,0.0,13.64,1.19,0.0
20150113:0400,0.0,0.0,0.0,0.0,0.0,13.53,1.12,0.0
20150113:0500,0.0,0.0,0.0,0.0,0.0,13.41,1.05,0.0
20150113:0600,0.0,0.0,0.0,0.0,0.0,13.3,0.98,0.0
20150113:0700,0.0,0.0,0.0,0.0,0.0,13.31,0.85,0.0
20150113:0800,0.0,0.0,0.0,0.0,0.0,13.32,0.72,0.0
20150113:0900,0.0,0.0,0.0,0.0,0.0,13.32,0.59,0.0
20150113:1000,0.0,0.0,0.0,0.0,0.0,13.26,0.77,0.0
20150113:1100,0.0,0.0,0.0,0.0,0.0,13.2,0.94,0.0
20150113:1200,0.0,0.0,0.0,0.0,0.0,13.14,1.12,0.0
20150113:1300,0.0,0.0,0.0,0.0,0.0,13.18,1.15,0.0
20150113:1400,0.0,0.0,0.0,0.0,0.0,13.22,1.18,0.0
20150113:1500,0.0,0.0,0.0,0.0,0.0,13.26,1.21,0.0
20150113:1600,22325.0,220.69,66.01,2.58,10.75,13.73,1.2,0.0
20150113:1700,44406.0,449.71,92.37,5.58,20.28,14.21,1.2,0.0
20150113:1800,60662.0,644.38,107.29,8.09,27.98,14.68,1.19,0.0
20150113:1900,71386.0,779.58,116.33,9.73,33.08,15.03,1.6,0.0
20150113:2000,76486.0,843.01,120.95,10.33,34.86,15.38,2.02,0.0
20150113:2100,75671.0,826.24,121.05,9.8,32.99,15.73,2.44,0.0
20150113:2200,68097.0,728.67,116.67,8.19,27.81,15.84,2.22,0.0
20150113:2300,53972.0,553.3,107.81,5.68,20.05,15.95,1.99,0.0
20150114:0000,31885.0,309.89,83.38,2.63,10.67,16.06,1.77,0.0
20150114:0100,0.0,0.0,0.0,0.0,0.0,15.87,1.94,0.0
20150114:0200,0.0,0.0,0.0,0.0,0.0,15.67,2.12,0.0
20150114:0300,0.0,0.0,0.0,0.0,0.0,15.48,2.3,0.0
20150114:0400,0.0,0.0,0.0,0.0,0.0,15.16,2.09,0.0
20150114:0500,0.0,0.0,0.0,0.0,0.0,14.83,1.87,0.0
20150114:0600,0.0,0.0,0.0,0.0,0.0,14.51,1.66,0.0
20150114:0700,0.0,0.0,0.0,0.0,0.0,14.34,1.55,0.0
20150114:0800,0.0,0.0,0.0,0.0,0.0,14.18,1.45,0.0
20150114:0900,0.0,0.0,0.0,0.0,0.0,14.01,1.35,0.0
20150114:1000,0.0,0.0,0.0,0.0,0.0,13.82,1.34,0.0
20150114:1100,0.0,0.0,0.0,0.0,0.0,13.62,1.33,0.0
20150114:1200,0.0,0.0,0.0,0.0,0.0,13.42,1.32,0.0
20150114:1300,0.0,0.0,0.0,0.0,0.0,13.49,1.43,0.0
20150114:1400,0.0,0.0,0.0,0.0,0.0,13.56,1.54,0.0
20150114:1500,0.0,0.0,0.0,0.0,0.0,13.63,1.64,0.0
20150114:1600,23367.0,231.59,68.36,2.7,10.81,14.35,1.49,0.0
20150114:1700,45771.0,466.51,94.6,5.79,20.36,15.08,1.34,0.0
20150114:1800,61934.0,664.67,109.41,8.35,28.09,15.8,1.19,0.0
20150114:1900,72426.0,799.35,118.31,9.99,33.23,16.22,1.58,0.0
20150114:2000,77308.0,861.25,122.83,10.57,35.03,16.64,1.98,0.0
20150114:2100,76289.0,841.71,122.86,10.0,33.18,17.05,2.37,0.0
20150114:2200,68864.0,741.64,118.46,8.36,28.0,17.14,2.38,0.0
20150114:2300,54885.0,566.28,108.21,5.82,20.24,17.24,2.38,0.0
20150115:0000,32835.0,320.04,85.55,2.73,10.85,17.33,2.39,0.0
20150115:0100,0.0,0.0,0.0,0.0,0.0,16.73,2.41,0.0
20150115:0200,0.0,0.0,0.0,0.0,0.0,16.12,2.43,0.0
20150115:0300,0.0,0.0,0.0,0.0,0.0,15.52,2.46,0.0
20150115:0400,0.0,0.0,0.0,0.0,0.0,15.26,2.26,0.0
20150115:0500,0.0,0.0,0.0,0.0,0.0,14.99,2.06,0.0
20150115:0600,0.0,0.0,0.0,0.0,0.0,14.73,1.86,0.0
20150115:0700,0.0,0.0,0.0,0.0,0.0,14.45,1.74,0.0
20150115:0800,0.0,0.0,0.0,0.0,0.0,14.17,1.61,0.0
20150115:0900,0.0,0.0,0.0,0.0,0.0,13.88,1.49,0.0
